Course Code,Prefix,Course ID,Course Title,Section,Seat Limit,Seat Used,Seat Left,Start Time,End Time,Instructor Name,Remark,Session,Day Number,Day,Midterm Date,Midterm Start,Midterm End,Final Date,Final Start,Final End,Order
MCE2102,MCE,5956,MECHATRONICS ENGINEERING LABORATORY I,642,10,8,0,9:00:00,12:00:00,TUSSANAI PARTHORNRATT,***No Exam***,Morning,6,Friday,-,-,-,-,-,-,99
MCE4101,MCE,5959,INTRODUCTION TO ROBOTICS,641,40,8,32,10:30:00,13:30:00,NARONG APHIRATSAKUN,,Afternoon,5,Thursday,2025-07-30T00:00:00,15:00:00,17:00:00,2025-10-01T00:00:00,13:00:00,16:00:00,100
MCE4103,MCE,5961,MECHATRONICS ENGINEERING LABORATORY II,641,10,7,3,9:00:00,12:00:00,TUSSANAI PARTHORNRATT,***No Exam***,Morning,2,Monday,-,-,-,-,-,-,101
MCE4901,MCE,5963,MECHATRONICS ENGINEERING PROJECT I,641,40,5,23,17:00:00,18:00:00,SNEHA PAUDEL,***No Exam***,Afternoon,5,Thursday,-,-,-,-,-,-,102
MCE4902,MCE,5964,MECHATRONICS ENGINEERING PROJECT II,641,40,3,34,18:00:00,19:00:00,SNEHA PAUDEL,***No Exam***,Afternoon,5,Thursday,-,-,-,-,-,-,103
ME1113,ME,6017,ENGINEERING DRAWING,641,30,18,7,13:30:00,16:30:00,RAVIVAT RUGSAJ,,Afternoon,2,Monday,2025-08-06T00:00:00,15:00:00,17:00:00,2025-10-14T00:00:00,9:00:00,12:00:00,104
ME1113,ME,6017,ENGINEERING DRAWING,642,30,9,12,13:30:00,16:30:00,RAVIVAT RUGSAJ,,Afternoon,3,Tuesday,2025-08-06T00:00:00,15:00:00,17:00:00,2025-10-14T00:00:00,9:00:00,12:00:00,105
ME1113,ME,6017,ENGINEERING DRAWING,643,30,13,1,9:00:00,12:00:00,RAVIVAT RUGSAJ,,Morning,4,Wednesday,2025-08-06T00:00:00,15:00:00,17:00:00,2025-10-14T00:00:00,9:00:00,12:00:00,106
ME1114,ME,6018,ENGINEERING WORKSHOP,641,40,19,5,13:30:00,16:30:00,KANIN SAWATDIRUKSA,***No Exam***,Afternoon,4,Wednesday,-,-,-,-,-,-,107
ME1114,ME,6018,ENGINEERING WORKSHOP,642,40,25,10,13:30:00,16:30:00,KANIN SAWATDIRUKSA,***No Exam***,Afternoon,5,Thursday,-,-,-,-,-,-,108
ME2211,ME,6022,ENGINEERING MECHANICS I,641,40,37,3,9:00:00,10:30:00,JIRADECH KONGTHON,,Morning,2,Monday,2025-08-04T00:00:00,9:00:00,11:00:00,2025-10-07T00:00:00,9:00:00,12:00:00,109
ME2220,ME,6023,ENGINEERING MECHANICS II,641,22,23,0,9:00:00,10:30:00,CHAIRAT KAMRUENG,,Morning,2,Monday,-,-,-,-,-,-,110
ME3120,ME,6027,MECHANICS OF MACHINERY,641,40,14,26,13:30:00,16:30:00,JIRADECH KONGTHON,,Afternoon,2,Monday,2025-08-05T00:00:00,15:00:00,17:00:00,2025-10-09T00:00:00,13:00:00,16:00:00,111
ME3311,ME,6031,PNEUMATIC AND HYDRAULIC SYSTEM,641,30,12,18,9:00:00,12:00:00,JIRAPOD JINTASORNROM,,Morning,4,Wednesday,2025-08-01T00:00:00,12:00:00,14:00:00,2025-10-06T00:00:00,9:00:00,12:00:00,112
ME3312,ME,6032,PNEUMATIC AND HYDRAULIC SYSTEMS LAB,641,12,9,3,13:30:00,16:30:00,JIRAPOD JINTASORNROM,***No Exam***,Afternoon,3,Tuesday,-,-,-,-,-,-,113
ITX3002,ITX,8894,INTRODUCTION TO INFORMATION TECHNOLOGY,241,30,22,8,13:30:00,16:30:00,PORNCHANOK VANICH,"Class start on Aug 04,2025 ,International Admissions(682xxxx)",Afternoon,3,Tuesday,2025-09-02T00:00:00,9:00:00,11:00:00,2025-10-01T00:00:00,13:00:00,16:00:00,114
CSX3001,CSX,8900,FUNDAMENTALS OF COMPUTER PROGRAMMING,Empty,,,,,,,,,,,,,,,,,115
CSX2003,CSX,8962,PRINCIPLES OF STATISTICS,Empty,,,,,,,,,,,,,,,,,116
CSX3002,CSX,8964,OBJECT-ORIENTED CONCEPTS AND PROGRAMMING,Empty,,,,,,,,,,,,,,,,,117
ITX2004,ITX,8968,UI/UX DESIGN AND PROTOTYPING,543,40,42,0,13:30:00,16:30:00,PAITOON PORNTRAKOON,,Afternoon,3,Tuesday,2025-08-06T00:00:00,9:00:00,11:00:00,2025-10-10T00:00:00,9:00:00,12:00:00,118
ITX2004,ITX,8968,UI/UX DESIGN AND PROTOTYPING,544,40,40,0,9:00:00,12:00:00,PAITOON PORNTRAKOON,,Morning,3,Tuesday,2025-08-06T00:00:00,9:00:00,11:00:00,2025-10-10T00:00:00,9:00:00,12:00:00,119
CSX3003,CSX,8999,DATA STRUCTURE AND ALGORITHMS,546,35,24,11,9:00:00,12:00:00,"LU, JINCHUN ",,Morning,2,Monday,2025-08-05T00:00:00,12:00:00,14:00:00,2025-10-09T00:00:00,9:00:00,12:00:00,120
CSX2006,CSX,9009,MATHEMATICS AND STATISTICS FOR DATA SCIENCE,Empty,,,,,,,,,,,,,,,,,121
CSX3004,CSX,9010,PROGRAMMING LANGUAGES,Empty,,,,,,,,,,,,,,,,,122
CSX3005,CSX,9011,COMPUTER NETWORKS,Empty,,,,,,,,,,,,,,,,,123
ITX3003,ITX,9015,BUSINESS SYSTEMS,Empty,,,,,,,,,,,,,,,,,124
CSX3007,CSX,9147,COMPUTER ARCHITECTURE,541,0,2,0,9:00:00,12:00:00,ANILKUMAR GOPALAKRISHNAN,IS. 204/2568 open for 6411361 only,Morning,1,Sunday,-,-,-,-,-,-,125
ITX4107,ITX,9217,WEB APPLICATION DEVELOPMENT,541,40,4,0,9:00:00,12:00:00,CHAYAPOL MOEMENG,Codeshare with CSX4107,Morning,4,Wednesday,2025-07-31T00:00:00,9:00:00,11:00:00,2025-10-02T00:00:00,9:00:00,12:00:00,126
ITX4107,ITX,9217,WEB APPLICATION DEVELOPMENT,542,40,6,0,13:30:00,16:30:00,CHAYAPOL MOEMENG,Codeshare with CSX4107,Afternoon,4,Wednesday,2025-07-31T00:00:00,9:00:00,11:00:00,2025-10-02T00:00:00,9:00:00,12:00:00,127
ITX3004,ITX,9220,INFORMATION SYSTEM ANALYSIS AND DESIGN,Empty,,,,,,,,,,,,,,,,,128
ITX4207,ITX,9224,DECISION SUPPORT AND RECOMMENDER SYSTEMS,541,50,3,17,9:00:00,12:00:00,RACHSUDA SETTHAWONG,For IT **Codeshared with CSX4207**,Morning,3,Tuesday,2025-08-06T00:00:00,12:00:00,14:00:00,2025-10-10T00:00:00,13:00:00,16:00:00,129
CSX4102,CSX,9228,SOFTWARE ENGINEERING,541,55,5,0,9:00:00,12:00:00,DARUN KESRARAT,For CS 62x 63x 64x,Morning,2,Monday,2025-08-01T00:00:00,9:00:00,11:00:00,2025-10-03T00:00:00,13:00:00,16:00:00,130
CSX4102,CSX,9228,SOFTWARE ENGINEERING,542,55,5,1,9:00:00,12:00:00,DARUN KESRARAT,For CS 62x 63x 64x,Morning,4,Wednesday,2025-08-01T00:00:00,9:00:00,11:00:00,2025-10-03T00:00:00,13:00:00,16:00:00,131
CSX3011,CSX,9233,SENIOR PROJECT II,541,35,39,0,13:30:00,16:30:00,KWANKAMOL NONGPONG,,Afternoon,1,Sunday,-,-,-,-,-,-,132
CSX3010,CSX,9240,SENIOR PROJECT I,541,54,56,0,9:00:00,12:00:00,KWANKAMOL NONGPONG,,Morning,1,Sunday,-,-,-,-,-,-,133
CSX4207,CSX,9246,DECISION SUPPORT AND RECOMMENDER SYSTEMS,Empty,,,,,,,,,,,,,,,,,134
